event_id,event_name,region,start_time,end_time,status
epicgames_S41_MobileTestCupAll_NAW,Mobile Test Cup,NAW,2026-06-19T00:00:00.000Z,2026-06-19T01:15:00.000Z,live
epicgames_S41_PerformanceEvaluation_NAC,Fortnite Performance Evaluation,NAC,2026-06-19T02:00:00.000Z,2026-06-19T04:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_OCE,Mobile Reload (Mini Venture) Victory Cup,OCE,2026-06-19T07:00:00.000Z,2026-06-19T08:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_OCE,Reload Elite Series Play-Ins,OCE,2026-06-19T08:00:00.000Z,2026-06-19T10:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_OCE,Duos Ranked Cup (Zero Build),OCE,2026-06-19T08:00:00.000Z,2026-06-19T11:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_ASIA,Mobile Reload (Mini Venture) Victory Cup,ASIA,2026-06-19T08:00:00.000Z,2026-06-19T09:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_ASIA,Reload Elite Series Play-Ins,ASIA,2026-06-19T09:00:00.000Z,2026-06-19T11:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_ASIA,Duos Ranked Cup (Zero Build),ASIA,2026-06-19T09:00:00.000Z,2026-06-19T12:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_ME,Mobile Reload (Mini Venture) Victory Cup,ME,2026-06-19T14:00:00.000Z,2026-06-19T15:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_ME,Reload Elite Series Play-Ins,ME,2026-06-19T15:00:00.000Z,2026-06-19T17:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_ME,Duos Ranked Cup (Zero Build),ME,2026-06-19T15:00:00.000Z,2026-06-19T18:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_EU,Mobile Reload (Mini Venture) Victory Cup,EU,2026-06-19T16:00:00.000Z,2026-06-19T17:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_EU,Reload Elite Series Play-Ins,EU,2026-06-19T17:00:00.000Z,2026-06-19T19:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_EU,Duos Ranked Cup (Zero Build),EU,2026-06-19T17:00:00.000Z,2026-06-19T20:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_BR,Mobile Reload (Mini Venture) Victory Cup,BR,2026-06-19T20:00:00.000Z,2026-06-19T21:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_BR,Reload Elite Series Play-Ins,BR,2026-06-19T21:00:00.000Z,2026-06-19T23:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_BR,Duos Ranked Cup (Zero Build),BR,2026-06-19T21:00:00.000Z,2026-06-20T00:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_NAC,Mobile Reload (Mini Venture) Victory Cup,NAC,2026-06-19T22:00:00.000Z,2026-06-19T23:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_NAC,Reload Elite Series Play-Ins,NAC,2026-06-19T23:00:00.000Z,2026-06-20T01:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_NAC,Duos Ranked Cup (Zero Build),NAC,2026-06-19T23:00:00.000Z,2026-06-20T02:00:00.000Z,upcoming
epicgames_S41_MobileVictoryCup_ReloadminiVAll_NAW,Mobile Reload (Mini Venture) Victory Cup,NAW,2026-06-20T00:00:00.000Z,2026-06-20T01:15:00.000Z,upcoming
epicgames_S41_ReloadEliteSeries4PlayIn_NAW,Reload Elite Series Play-Ins,NAW,2026-06-20T01:00:00.000Z,2026-06-20T03:30:00.000Z,upcoming
epicgames_S41_RankedCupDuosZB_NAW,Duos Ranked Cup (Zero Build),NAW,2026-06-20T01:00:00.000Z,2026-06-20T04:00:00.000Z,upcoming
epicgames_S41_SoloVictoryCup_OCE,Solo Victory Cup,OCE,2026-06-20T03:00:00.000Z,2026-06-20T05:00:00.000Z,upcoming
epicgames_S41_SoloVictoryCup_ASIA,Solo Victory Cup,ASIA,2026-06-20T04:00:00.000Z,2026-06-20T06:00:00.000Z,upcoming
epicgames_S41_SoloVictoryCup_OCE,Solo Victory Cup,OCE,2026-06-20T06:00:00.000Z,2026-06-20T07:00:00.000Z,upcoming
epicgames_S41_MobileSeriesHeatAll1_OCE,Mobile Series Heats,OCE,2026-06-20T06:00:00.000Z,2026-06-20T07:20:00.000Z,upcoming
